idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
S066,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,44,0.36241412,0.2926682363248097,0.9621245421245421,1.0,0.0,0.3147904184443494,0.30559879921102184,0.20555047007155708
S068,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,45,0.36178815,0.06318496980541266,0.9534788540245566,1.0,0.0,0.25981989101448305,0.24515757736336535,0.2124499451931559
S069,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,46,0.3618701,0.08720255368543238,0.9505620316402997,1.0,0.0,0.3180514040444365,0.32059501087131315,0.1896639511570489
S070,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,47,0.3619765,0.10938150337134771,0.920760470767618,1.0,0.0,0.3015259709740024,0.30615310854055633,0.1947092844355349
S071,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,48,0.36203265,0.11924649013684023,0.9513477975016437,1.0,0.0,0.31886806891339586,0.3231447147098326,0.1910131191329967
S072,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,49,0.3618297,0.05363183193875734,0.9311864406779661,1.0,0.0,0.34435276263421544,0.34544822287181864,0.21137600446693142
S073,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,50,0.36202988,0.14850902981940362,0.949826130153999,1.0,0.0,0.304745583521635,0.3108372408082679,0.18100138545859526
S074,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,51,0.3620478,0.09872257706192725,0.9358156028368795,1.0,0.0,0.2881315345379292,0.28239934784776033,0.20604028437783817
S076,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,52,0.36190537,0.14646214745175656,0.9503046127067015,1.0,0.0,0.24691287262998302,0.24906457073578192,0.18294859001468852
S077,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,53,0.36205912,0.10544554455445544,0.955277525022748,1.0,0.0,0.32910048454471247,0.32176681740164303,0.19174147572746011
S078,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,54,0.3617046,0.053359515068727055,0.9483309143686502,1.0,0.0,0.3347473388555396,0.3459434166295969,0.18241744172742033
S079,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,55,0.36189327,0.07601702464614471,0.9508367254635911,1.0,0.0,0.30449231987954695,0.3033781755214574,0.1925509825709603
S080,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,56,0.3617849,0.10146335146335146,0.9550724637681159,1.0,0.0,0.3213546470813761,0.3235241697222275,0.19549276039614602
S082,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,57,0.36193258,0.1280918098225105,0.9588588588588589,1.0,0.0,0.290356404291766,0.29605424451751794,0.20053464167866838
S083,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,58,0.3617628,0.07292386999434211,0.9478260869565217,1.0,0.0,0.26247258375391347,0.26882349482906787,0.20364644339928098
S084,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,59,0.36178318,0.04056876606683805,0.9489891135303266,1.0,0.0,0.29419939869614053,0.30052217957743155,0.18550649857547286
S085,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,60,0.36166477,0.05151062239777944,0.9285592497868713,1.0,0.0,0.31514537949663574,0.33439042432294097,0.18619763144882903
S086,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,61,0.36197513,0.1400113830392715,0.9524763494713411,1.0,0.0,0.27724687915039026,0.2783409035662988,0.19415762264931188
S088,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,62,0.3618613,0.06421500521014241,0.9548555377207063,1.0,0.0,0.3457947367603469,0.348138510691397,0.18556141525779146
S089,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,63,0.36192265,0.09812914906457454,0.9307086614173228,1.0,0.0,0.3204935699217681,0.32762530335900975,0.19562852449328733
S090,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,64,0.36179355,0.053780871555258895,0.9434574976122254,1.0,0.0,0.31836041912708374,0.3246783657139992,0.19085742724851953
S091,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,65,0.36195713,0.09960552268244575,0.9578339991122947,1.0,0.0,0.2746420149618526,0.2632934611897836,0.19455056301017756
S092,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,66,0.36183935,0.12991872016513997,0.9338040222507489,1.0,0.0,0.27535651822448254,0.28961138949024845,0.18402745071977225
S093,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,67,0.36194775,0.08398898505114083,0.9368804664723032,1.0,0.0,0.2955851750524596,0.29376460347461086,0.20614758042086906
S095,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,68,0.36185896,0.05652985074626866,0.963963963963964,1.0,0.0,0.30888438453853084,0.30897158295144467,0.20834448740406702
S096,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,69,0.36200738,0.1900497119861122,0.9391629297458894,1.0,0.0,0.3087576632794303,0.3116904165606666,0.1983683761281261
S098,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,70,0.36179823,0.05579325688858463,0.9606501698204755,1.0,0.0,0.2876952401665229,0.28866757715861957,0.18579165355045535
S100,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,71,0.36193776,0.13100610565436688,0.9307221542227662,1.0,0.0,0.27757421762908524,0.27791411698150514,0.18952106966210283
S101,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,72,0.36187088,0.08437615016562384,0.9648882808937529,1.0,0.0,0.2993448122175393,0.2949456976943954,0.19942015805998514
S102,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,73,0.36176425,0.10198711550675982,0.9284552845528455,1.0,0.0,0.2932636465255527,0.30851861255624813,0.1898049605046829
S003,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,0,0.46086735,0.7156853509185115,0.9500699300699301,3.621510966537487,-1.5089166736932738,7.884976239317405e-16,-0.02164965421294343,0.9999992291278015
S004,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,1,0.3207779,0.2490999099909991,0.9501133786848073,3.1448303997710636,-1.5008252279697165,5.266733916031702e-16,-0.006085650439247318,0.9999992846525392
S005,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,2,0.46439654,0.7603991949010399,0.9500520833333334,3.293485320223448,-1.4945965319181778,1.6759775795974525e-15,0.0242911657074895,0.9999992312181109
S006,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,3,0.4141078,0.4546875,0.9499433106575964,3.472139860982534,-1.5018684743975776,6.04985389205939e-17,-0.04757590745185317,0.9999992339872037
S007,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,4,0.45018303,0.31369653499288014,0.9500850340136054,3.847438730121349,-1.5608164234843311,-1.1333392957791257e-15,0.02604737890702359,0.9999991395218889
S009,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,5,0.4021411,0.373697270471464,0.9499099099099099,3.5838272056314744,-1.5221316197565746,-6.404442550732871e-16,0.030593997382641826,0.9999991391986908
S010,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,6,0.45651352,0.5004002619896659,0.9499974038112051,3.4940325854348036,-1.7055894588084073,-2.4014558921535745e-16,0.0010571355834712195,0.9999991866519429
S011,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,7,0.40518832,0.460328088382993,0.9500216731686173,4.0,-1.8468235114612999,-6.697855737781759e-05,0.08731106870271324,0.9997277182078731
S012,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,8,0.41391754,0.35001542257865514,0.9500299520766773,3.9337257583805063,-1.7377294142240804,6.300880815705604e-16,0.030755790977503,0.9999991074051576
S013,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,9,0.4022195,0.4842083462773118,0.949799732977303,3.9072644554307554,-1.6575054256411537,-3.0538318035139784e-15,0.03362870052202464,0.9999991109338188
S014,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,10,0.36264968,0.39371342269208986,0.9501386577925679,3.773946056411847,-1.1952538503718846,-1.234842399968122e-15,-0.01213968741754283,0.9999991678787112
S015,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,11,0.49344718,0.7730073161340008,0.9499380859720502,3.509689371937692,-1.593041114713275,3.176320338391056e-15,-0.04178406107711838,0.9999992198205125
S018,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,12,0.45073944,0.6456107270060758,0.9500226757369614,3.6551214584171,-1.6602342715649498,-2.8693112598061673e-15,0.021860101133095847,0.9999991715433798
S020,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,13,0.37533376,0.3949516648764769,0.9500506585612969,4.0,-1.223508275585095,-3.704959923471319e-05,-0.01589814163292519,0.9998498602650654
S021,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,14,0.40317422,0.23744479819246175,0.9499221183800624,3.726095209037216,-1.611404545455343,7.202687161490707e-16,0.059787582636542096,0.9999991240440236
S023,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,15,0.47250336,0.5283390410958904,0.9500496031746032,3.686122357224998,-1.5802829243561831,-2.8518339041179956e-16,-0.013498592592708403,0.9999992005317679
S024,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,16,0.50261027,0.6025295109612142,0.9500986193293885,3.3087746805013594,-1.698097432462634,-3.7343143277479085e-16,-0.021924260204697118,0.9999992021669126
S025,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,17,0.41462386,0.578100593564511,0.9499727223131479,3.7419223012019907,-1.29169928848128,-1.1235923089530299e-15,-0.002018763420114872,0.9999992279217681
S027,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,18,0.4266595,0.27588051716451184,0.9497942386831276,3.5233741386308197,-1.719894245235331,4.1840621465985735e-16,-0.009647729055996826,0.9999992011273329
S028,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,19,0.46965393,0.5979261837430208,0.9500234265188193,3.510307455029715,-1.5242860650878358,1.225263464639028e-15,-0.007342104467206742,0.9999992318827515
S029,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,20,0.43049854,0.4423923148435079,0.95,3.5512788677794993,-1.639047331196638,-1.5670802095403836e-15,-0.022532326545937148,0.9999991883127598
S031,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,21,0.41235274,0.49766177270255574,0.9501365259399286,3.9614611778266715,-1.6462313675580733,5.335635029802379e-18,0.0277541749960838,0.9999991278619854
S032,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,22,0.3546493,0.2832394976180165,0.9499071494893222,3.797250663670954,-1.6986724049415038,6.211183329180973e-16,0.07532273703427037,0.9999991810021374
S033,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,23,0.39913,0.4762042668211217,0.95,3.6039355451849597,-1.6459468653149438,-9.404161772212318e-16,0.07978559830466178,0.9999991575770337
S034,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,24,0.37235022,0.7387901300079597,0.9500537634408602,3.6987777484236983,-0.9267180772776752,1.8401638921680643e-15,-0.23874280198691564,0.9999992525030716
S035,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,25,0.48939845,0.6810589347620548,0.9499227202472952,3.531768875275207,-1.5378678797040368,6.031368227389208e-16,0.019114258795859658,0.9999992354119263
S039,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,26,0.42281896,0.6140067172533897,0.9499125109361329,3.756848429932215,-1.4920345012980352,-1.5643913855883572e-15,0.008634210587026719,0.9999991659250679
S042,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,27,0.40609378,0.5572336214977607,0.9498648648648649,3.7177339266130662,-1.417459444409652,3.599663065775337e-16,-0.011500471821332396,0.9999991898743298
S043,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,28,0.4113934,0.40106285809183756,0.9500246184145741,3.672363951331182,-1.5344460710045558,1.762608126301803e-15,0.024784358594858176,0.9999991406456858
S044,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,29,0.36884382,0.26645353323779075,0.9499036608863198,3.746363904811264,-1.5755372711891193,-1.4855752334945833e-16,0.11457885330448171,0.9999990956556535
S045,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,30,0.4125582,0.3481607096269241,0.9499319727891157,3.9398431144665924,-1.3780433106656413,7.421154107592851e-16,0.013555560104685461,0.9999991866699637
S046,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,31,0.64260256,0.6847505450814416,0.95,3.5832428058544616,-1.0031790636644675,-6.122116035770099e-16,-0.2760860070411531,0.9999992755940048
S048,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,32,0.39443994,0.5722795869737887,0.9500197117701169,3.7329157354502076,-1.40324283739738,-2.640089017895917e-16,-0.004384344971471733,0.9999991680498839
S049,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,33,0.51872563,0.7043296892980437,0.9499895266024299,3.3895847481811656,-1.3837868623768053,-5.605357682490026e-16,-0.08919108598997638,0.9999992799751108
S050,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,34,0.4540171,0.6565699208443272,0.9500524109014675,3.16372319110907,-1.2666362131734537,1.794789987977619e-16,0.012784840907192153,0.9999993213700554
S051,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,35,0.42266384,0.5456637895602138,0.9500256016385049,3.76236204921258,-1.4846035050916446,1.4687700837944184e-16,-0.01305678129662558,0.9999991725066599
